Sector,Dis1,Men,raceX,Educ,_TYPE_,_FREQ_,n_Est,Sample
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,,,28,75335,7146282,75335
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,,,28,38287,3708619,38287
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,,,28,5089,456592,5089
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,,,28,3831,325652,3831
"Local, State or Federal (city, county, etc.) government employee",0,0,,,28,116581,10982888,116581
"Local, State or Federal (city, county, etc.) government employee",0,1,,,28,95310,9236435,95310
"Local, State or Federal (city, county, etc.) government employee",1,0,,,28,7430,659691,7430
"Local, State or Federal (city, county, etc.) government employee",1,1,,,28,6982,622541,6982
Self employed,0,0,,,28,47252,4517387,47252
Self employed,0,1,,,28,82759,8072007,82759
Self employed,1,0,,,28,3539,326766,3539
Self employed,1,1,,,28,6930,614989,6930
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,,Less than High School,29,28610,3402455,28610
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,,High School,29,100197,10801276,100197
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,,Some College,29,148548,16007805,148548
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,,Bachelors Degree or more,29,113479,11769311,113479
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,,Less than High School,29,49204,6097405,49204
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,,High School,29,133060,14880246,133060
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,,Some College,29,144834,15783501,144834
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,,Bachelors Degree or more,29,135709,14009037,135709
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,,Less than High School,29,3053,315125,3053
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,,High School,29,7647,748970,7647
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,,Some College,29,8963,889214,8963
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,,Bachelors Degree or more,29,3576,345657,3576
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,,Less than High School,29,4487,475042,4487
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,,High School,29,10155,1004994,10155
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,,Some College,29,9549,952138,9549
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,,Bachelors Degree or more,29,5007,474962,5007
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,,Less than High School,29,2016,209455,2016
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,,High School,29,10402,1001973,10402
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,,Some College,29,24095,2301683,24095
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,,Bachelors Degree or more,29,38822,3633171,38822
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,,Less than High School,29,1841,197638,1841
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,,High School,29,5439,545561,5439
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,,Some College,29,9386,944641,9386
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,,Bachelors Degree or more,29,21621,2020779,21621
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,,Less than High School,29,528,45174,528
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,,High School,29,1274,108192,1274
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,,Some College,29,1758,166572,1758
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,,Bachelors Degree or more,29,1529,136654,1529
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,,Less than High School,29,698,51832,698
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,,High School,29,1164,101534,1164
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,,Some College,29,889,77596,889
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,,Bachelors Degree or more,29,1080,94690,1080
"Local, State or Federal (city, county, etc.) government employee",0,0,,Less than High School,29,2889,289844,2889
"Local, State or Federal (city, county, etc.) government employee",0,0,,High School,29,17965,1680688,17965
"Local, State or Federal (city, county, etc.) government employee",0,0,,Some College,29,32589,3113812,32589
"Local, State or Federal (city, county, etc.) government employee",0,0,,Bachelors Degree or more,29,63138,5898544,63138
"Local, State or Federal (city, county, etc.) government employee",0,1,,Less than High School,29,2603,254616,2603
"Local, State or Federal (city, county, etc.) government employee",0,1,,High School,29,18659,1776968,18659
"Local, State or Federal (city, county, etc.) government employee",0,1,,Some College,29,31338,3126569,31338
"Local, State or Federal (city, county, etc.) government employee",0,1,,Bachelors Degree or more,29,42710,4078282,42710
"Local, State or Federal (city, county, etc.) government employee",1,0,,Less than High School,29,515,46484,515
"Local, State or Federal (city, county, etc.) government employee",1,0,,High School,29,1723,146801,1723
"Local, State or Federal (city, county, etc.) government employee",1,0,,Some College,29,2446,220376,2446
"Local, State or Federal (city, county, etc.) government employee",1,0,,Bachelors Degree or more,29,2746,246030,2746
"Local, State or Federal (city, county, etc.) government employee",1,1,,Less than High School,29,504,43571,504
"Local, State or Federal (city, county, etc.) government employee",1,1,,High School,29,1743,151327,1743
"Local, State or Federal (city, county, etc.) government employee",1,1,,Some College,29,2514,231102,2514
"Local, State or Federal (city, county, etc.) government employee",1,1,,Bachelors Degree or more,29,2221,196541,2221
Self employed,0,0,,Less than High School,29,3488,386983,3488
Self employed,0,0,,High School,29,10466,1019777,10466
Self employed,0,0,,Some College,29,14773,1402766,14773
Self employed,0,0,,Bachelors Degree or more,29,18525,1707861,18525
Self employed,0,1,,Less than High School,29,8092,893929,8092
Self employed,0,1,,High School,29,21218,2099926,21218
Self employed,0,1,,Some College,29,22702,2191780,22702
Self employed,0,1,,Bachelors Degree or more,29,30747,2886372,30747
Self employed,1,0,,Less than High School,29,440,42572,440
Self employed,1,0,,High School,29,950,86103,950
Self employed,1,0,,Some College,29,1229,115071,1229
Self employed,1,0,,Bachelors Degree or more,29,920,83020,920
Self employed,1,1,,Less than High School,29,968,94791,968
Self employed,1,1,,High School,29,1971,167677,1971
Self employed,1,1,,Some College,29,1995,177342,1995
Self employed,1,1,,Bachelors Degree or more,29,1996,175179,1996
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,White only,,30,301148,30874168,301148
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,Black/African American only,,30,40117,5366308,40117
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,Asian only,,30,23725,2584690,23725
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,Some other race(s),,30,25844,3155681,25844
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,White only,,30,367526,38566402,367526
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,Black/African American only,,30,35127,4866535,35127
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,Asian only,,30,25931,2880229,25931
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,Some other race(s),,30,34223,4457023,34223
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,White only,,30,17916,1722388,17916
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,Black/African American only,,30,2968,328813,2968
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,Asian only,,30,698,69899,698
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,Some other race(s),,30,1657,177866,1657
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,White only,,30,23981,2329393,23981
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,Black/African American only,,30,2352,268999,2352
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,Asian only,,30,782,79027,782
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,Some other race(s),,30,2083,229717,2083
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,White only,,30,61665,5640778,61665
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,Black/African American only,,30,6866,815808,6866
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,Asian only,,30,3396,333448,3396
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,Some other race(s),,30,3408,356248,3408
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,White only,,30,30491,2837833,30491
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,Black/African American only,,30,3419,417747,3419
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,Asian only,,30,2369,234994,2369
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,Some other race(s),,30,2008,218045,2008
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,White only,,30,4007,350413,4007
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,Black/African American only,,30,636,66500,636
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,Asian only,,30,137,11074,137
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,Some other race(s),,30,309,28605,309
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,White only,,30,3117,255565,3117
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,Black/African American only,,30,414,40556,414
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,Asian only,,30,96,8386,96
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,Some other race(s),,30,204,21145,204
"Local, State or Federal (city, county, etc.) government employee",0,0,White only,,30,89514,8130910,89514
"Local, State or Federal (city, county, etc.) government employee",0,0,Black/African American only,,30,15389,1747045,15389
"Local, State or Federal (city, county, etc.) government employee",0,0,Asian only,,30,4745,455633,4745
"Local, State or Federal (city, county, etc.) government employee",0,0,Some other race(s),,30,6933,649300,6933
"Local, State or Federal (city, county, etc.) government employee",0,1,White only,,30,74871,7035475,74871
"Local, State or Federal (city, county, etc.) government employee",0,1,Black/African American only,,30,10229,1208787,10229
"Local, State or Federal (city, county, etc.) government employee",0,1,Asian only,,30,4404,430760,4404
"Local, State or Federal (city, county, etc.) government employee",0,1,Some other race(s),,30,5806,561413,5806
"Local, State or Federal (city, county, etc.) government employee",1,0,White only,,30,5420,471219,5420
"Local, State or Federal (city, county, etc.) government employee",1,0,Black/African American only,,30,1267,124943,1267
"Local, State or Federal (city, county, etc.) government employee",1,0,Asian only,,30,167,14941,167
"Local, State or Federal (city, county, etc.) government employee",1,0,Some other race(s),,30,576,48588,576
"Local, State or Federal (city, county, etc.) government employee",1,1,White only,,30,5487,479366,5487
"Local, State or Federal (city, county, etc.) government employee",1,1,Black/African American only,,30,826,82123,826
"Local, State or Federal (city, county, etc.) government employee",1,1,Asian only,,30,168,16046,168
"Local, State or Federal (city, county, etc.) government employee",1,1,Some other race(s),,30,501,45006,501
Self employed,0,0,White only,,30,39469,3640154,39469
Self employed,0,0,Black/African American only,,30,2349,278382,2349
Self employed,0,0,Asian only,,30,2890,301517,2890
Self employed,0,0,Some other race(s),,30,2544,297334,2544
Self employed,0,1,White only,,30,71487,6727029,71487
Self employed,0,1,Black/African American only,,30,3323,432794,3323
Self employed,0,1,Asian only,,30,4031,434081,4031
Self employed,0,1,Some other race(s),,30,3918,478103,3918
Self employed,1,0,White only,,30,2919,262377,2919
Self employed,1,0,Black/African American only,,30,271,27768,271
Self employed,1,0,Asian only,,30,114,11042,114
Self employed,1,0,Some other race(s),,30,235,25579,235
Self employed,1,1,White only,,30,6159,535649,6159
Self employed,1,1,Black/African American only,,30,296,32149,296
Self employed,1,1,Asian only,,30,156,15548,156
Self employed,1,1,Some other race(s),,30,319,31643,319
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,White only,Less than High School,31,17865,2070649,17865
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,White only,High School,31,78490,8028143,78490
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,White only,Some College,31,116242,11901971,116242
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,White only,Bachelors Degree or more,31,88551,8873405,88551
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,Black/African American only,Less than High School,31,3340,423823,3340
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,Black/African American only,High School,31,11301,1511974,11301
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,Black/African American only,Some College,31,17326,2370622,17326
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,Black/African American only,Bachelors Degree or more,31,8150,1059889,8150
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,Asian only,Less than High School,31,2334,247049,2334
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,Asian only,High School,31,3417,395665,3417
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,Asian only,Some College,31,5543,606437,5543
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,Asian only,Bachelors Degree or more,31,12431,1335539,12431
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,Some other race(s),Less than High School,31,5071,660934,5071
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,Some other race(s),High School,31,6989,865494,6989
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,Some other race(s),Some College,31,9437,1128775,9437
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,Some other race(s),Bachelors Degree or more,31,4347,500478,4347
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,White only,Less than High School,31,33145,3963001,33145
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,White only,High School,31,106695,11305862,106695
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,White only,Some College,31,117095,12216658,117095
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,White only,Bachelors Degree or more,31,110591,11080881,110591
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,Black/African American only,Less than High School,31,3784,486623,3784
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,Black/African American only,High School,31,12433,1764397,12433
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,Black/African American only,Some College,31,12914,1809011,12914
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,Black/African American only,Bachelors Degree or more,31,5996,806504,5996
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,Asian only,Less than High School,31,2249,251063,2249
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,Asian only,High School,31,3422,418024,3422
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,Asian only,Some College,31,5496,608276,5496
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,Asian only,Bachelors Degree or more,31,14764,1602866,14764
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,Some other race(s),Less than High School,31,10026,1396718,10026
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,Some other race(s),High School,31,10510,1391963,10510
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,Some other race(s),Some College,31,9329,1149556,9329
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,Some other race(s),Bachelors Degree or more,31,4358,518786,4358
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,White only,Less than High School,31,1995,202416,1995
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,White only,High School,31,6048,570654,6048
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,White only,Some College,31,7002,676749,7002
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,White only,Bachelors Degree or more,31,2871,272569,2871
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,Black/African American only,Less than High School,31,511,52862,511
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,Black/African American only,High School,31,1001,111492,1001
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,Black/African American only,Some College,31,1125,127904,1125
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,Black/African American only,Bachelors Degree or more,31,331,36555,331
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,Asian only,Less than High School,31,143,13833,143
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,Asian only,High School,31,149,16885,149
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,Asian only,Some College,31,186,18590,186
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,Asian only,Bachelors Degree or more,31,220,20591,220
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,Some other race(s),Less than High School,31,404,46014,404
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,Some other race(s),High School,31,449,49939,449
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,Some other race(s),Some College,31,650,65971,650
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,Some other race(s),Bachelors Degree or more,31,154,15942,154
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,White only,Less than High School,31,3266,336531,3266
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,White only,High School,31,8432,812043,8432
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,White only,Some College,31,7971,777664,7971
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,White only,Bachelors Degree or more,31,4312,403155,4312
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,Black/African American only,Less than High School,31,469,51934,469
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,Black/African American only,High School,31,905,105223,905
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,Black/African American only,Some College,31,763,89101,763
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,Black/African American only,Bachelors Degree or more,31,215,22741,215
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,Asian only,Less than High School,31,111,11825,111
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,Asian only,High School,31,146,15050,146
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,Asian only,Some College,31,236,23162,236
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,Asian only,Bachelors Degree or more,31,289,28990,289
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,Some other race(s),Less than High School,31,641,74752,641
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,Some other race(s),High School,31,672,72678,672
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,Some other race(s),Some College,31,579,62211,579
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,Some other race(s),Bachelors Degree or more,31,191,20076,191
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,White only,Less than High School,31,1281,127928,1281
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,White only,High School,31,8365,770762,8365
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,White only,Some College,31,19436,1774925,19436
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,White only,Bachelors Degree or more,31,32583,2967163,32583
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,Black/African American only,Less than High School,31,341,39165,341
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,Black/African American only,High School,31,1223,147200,1223
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,Black/African American only,Some College,31,2733,332054,2733
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,Black/African American only,Bachelors Degree or more,31,2569,297389,2569
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,Asian only,Less than High School,31,110,11614,110
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,Asian only,High School,31,219,22303,219
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,Asian only,Some College,31,655,63653,655
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,Asian only,Bachelors Degree or more,31,2412,235878,2412
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,Some other race(s),Less than High School,31,284,30748,284
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,Some other race(s),High School,31,595,61708,595
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,Some other race(s),Some College,31,1271,131051,1271
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,0,Some other race(s),Bachelors Degree or more,31,1258,132741,1258
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,White only,Less than High School,31,1164,125017,1164
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,White only,High School,31,4037,381217,4037
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,White only,Some College,31,7264,696599,7264
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,White only,Bachelors Degree or more,31,18026,1635000,18026
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,Black/African American only,Less than High School,31,273,28618,273
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,Black/African American only,High School,31,824,101797,824
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,Black/African American only,Some College,31,1169,145430,1169
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,Black/African American only,Bachelors Degree or more,31,1153,141902,1153
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,Asian only,Less than High School,31,73,8323,73
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,Asian only,High School,31,139,13845,139
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,Asian only,Some College,31,373,36990,373
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,Asian only,Bachelors Degree or more,31,1784,175836,1784
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,Some other race(s),Less than High School,31,331,35680,331
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,Some other race(s),High School,31,439,48702,439
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,Some other race(s),Some College,31,580,65622,580
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,1,Some other race(s),Bachelors Degree or more,31,658,68041,658
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,White only,Less than High School,31,377,30351,377
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,White only,High School,31,1030,84571,1030
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,White only,Some College,31,1322,121813,1322
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,White only,Bachelors Degree or more,31,1278,113678,1278
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,Black/African American only,Less than High School,31,82,8046,82
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,Black/African American only,High School,31,145,13999,145
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,Black/African American only,Some College,31,276,31878,276
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,Black/African American only,Bachelors Degree or more,31,133,12577,133
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,Asian only,Less than High School,31,15,1850,15
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,Asian only,High School,31,16,1453,16
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,Asian only,Some College,31,53,3382,53
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,Asian only,Bachelors Degree or more,31,53,4389,53
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,Some other race(s),Less than High School,31,54,4927,54
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,Some other race(s),High School,31,83,8169,83
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,Some other race(s),Some College,31,107,9499,107
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,0,Some other race(s),Bachelors Degree or more,31,65,6010,65
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,White only,Less than High School,31,529,37490,529
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,White only,High School,31,933,77667,933
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,White only,Some College,31,721,61378,721
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,White only,Bachelors Degree or more,31,934,79030,934
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,Black/African American only,Less than High School,31,113,8139,113
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,Black/African American only,High School,31,149,16288,149
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,Black/African American only,Some College,31,98,9853,98
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,Black/African American only,Bachelors Degree or more,31,54,6276,54
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,Asian only,Less than High School,31,17,1685,17
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,Asian only,High School,31,26,1926,26
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,Asian only,Some College,31,16,1456,16
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,Asian only,Bachelors Degree or more,31,37,3319,37
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,Some other race(s),Less than High School,31,39,4518,39
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,Some other race(s),High School,31,56,5653,56
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,Some other race(s),Some College,31,54,4909,54
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,1,Some other race(s),Bachelors Degree or more,31,55,6065,55
"Local, State or Federal (city, county, etc.) government employee",0,0,White only,Less than High School,31,1600,159879,1600
"Local, State or Federal (city, county, etc.) government employee",0,0,White only,High School,31,13500,1205775,13500
"Local, State or Federal (city, county, etc.) government employee",0,0,White only,Some College,31,23539,2149999,23539
"Local, State or Federal (city, county, etc.) government employee",0,0,White only,Bachelors Degree or more,31,50875,4615257,50875
"Local, State or Federal (city, county, etc.) government employee",0,0,Black/African American only,Less than High School,31,616,65351,616
"Local, State or Federal (city, county, etc.) government employee",0,0,Black/African American only,High School,31,2765,319835,2765
"Local, State or Federal (city, county, etc.) government employee",0,0,Black/African American only,Some College,31,5473,629781,5473
"Local, State or Federal (city, county, etc.) government employee",0,0,Black/African American only,Bachelors Degree or more,31,6535,732078,6535
"Local, State or Federal (city, county, etc.) government employee",0,0,Asian only,Less than High School,31,193,17775,193
"Local, State or Federal (city, county, etc.) government employee",0,0,Asian only,High School,31,359,34117,359
"Local, State or Federal (city, county, etc.) government employee",0,0,Asian only,Some College,31,1019,98769,1019
"Local, State or Federal (city, county, etc.) government employee",0,0,Asian only,Bachelors Degree or more,31,3174,304972,3174
"Local, State or Federal (city, county, etc.) government employee",0,0,Some other race(s),Less than High School,31,480,46839,480
"Local, State or Federal (city, county, etc.) government employee",0,0,Some other race(s),High School,31,1341,120961,1341
"Local, State or Federal (city, county, etc.) government employee",0,0,Some other race(s),Some College,31,2558,235263,2558
"Local, State or Federal (city, county, etc.) government employee",0,0,Some other race(s),Bachelors Degree or more,31,2554,246237,2554
"Local, State or Federal (city, county, etc.) government employee",0,1,White only,Less than High School,31,1571,147464,1571
"Local, State or Federal (city, county, etc.) government employee",0,1,White only,High School,31,14313,1314056,14313
"Local, State or Federal (city, county, etc.) government employee",0,1,White only,Some College,31,24108,2333021,24108
"Local, State or Federal (city, county, etc.) government employee",0,1,White only,Bachelors Degree or more,31,34879,3240934,34879
"Local, State or Federal (city, county, etc.) government employee",0,1,Black/African American only,Less than High School,31,487,54633,487
"Local, State or Federal (city, county, etc.) government employee",0,1,Black/African American only,High School,31,2513,300401,2513
"Local, State or Federal (city, county, etc.) government employee",0,1,Black/African American only,Some College,31,3848,458926,3848
"Local, State or Federal (city, county, etc.) government employee",0,1,Black/African American only,Bachelors Degree or more,31,3381,394827,3381
"Local, State or Federal (city, county, etc.) government employee",0,1,Asian only,Less than High School,31,125,12882,125
"Local, State or Federal (city, county, etc.) government employee",0,1,Asian only,High School,31,382,36290,382
"Local, State or Federal (city, county, etc.) government employee",0,1,Asian only,Some College,31,1076,105280,1076
